Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Crafting Days,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,F,W,A,E,Trait 1,Trait 2,Description
41,Hot Baguette,15,(Food),(Bread),,,1,Grain Powder,(Spice),(Seasoning),(Fermented),25,0,0,5,Fire Power,,A freshly-baked baguette. It's soft and chewy. The slightly burned parts are supposed to taste the best.
42,Black Baguette,12,(Food),(Bread),,,1,Grain Powder,(Charcoal),(Seasoning),(Fermented),8,0,0,30,Black Soil Power,,"I didn't burn it! The ingredients did it! It has a novel texture, so certain people would love it."
43,Danish,9,(Food),(Bread),,,1,Grain Powder,Liquid Butter,(Fruit),,0,0,15,10,Wind Power,,Bread baked into multiple layers. It's very sweet and can be eaten without jam or butter. It could be a dessert!
44,Crisp Danish,5,(Food),(Bread),,,1,Grain Powder,Liquid Butter,(Fruit),(Oil),5,0,20,10,Wind Power,,A freshly-baked Danish. Eat it while it's warm and the spongy texture and sweetness will surely give you a grin.
45,Caramel Danish,16,(Food),(Bread),,,1,Grain Powder,Liquid Butter,Honey,(Fruit),0,0,25,15,Storm Power,,A special Danish baked with layers of syrup. It's really sweet compared to regular Danishes.
46,Flower Muffin,12,(Food),(Snack),,,1,(Bean),(Sweetener),Fluffy Whip,(Flower),0,10,0,15,Dirt Power,,A flower-scented dessert. It's shaped like a flower and good even when cold. It's a bakery's typical dessert.
47,Bitter Muffin,15,(Food),(Snack),,,1,Grain Powder,(Dried Plant),Fluffy Whip,Bitter Leaf,0,15,0,15,Dirt Power,,A slightly bitter muffin for adults. This is great when you want a change of pace from the usual sweets.
48,Soft Muffin,18,(Food),(Snack),,,1,Grain Powder,Fluffy Whip,(Grain),(Bean),10,20,0,20,Dirt Power,Fire Power,A freshly-baked muffin that maintains its shape well and is soft and tasty. I see why it's the king of desserts.
49,Bread Stars,7,(Food),(Bread),,,1,Grain Powder,(Incense),(Milk),,10,0,5,10,Wind Power,,"A dried out bread shaped like a star. It's slightly soft, making it addictive. You can even use it as emergency food."
50,Venus Bread Stars,16,(Food),(Bread),,,1,Grain Powder,Honey,(Milk),,15,0,15,20,Tempest Power,,A freshly-baked bread star. It's chewy and can be eaten like a cookie. Some bakeries dry it out before selling it.
51,Ocean Stars,22,(Food),(Bread),,,1,Grain Powder,Coarse Salt,(Milk),(Supplement),10,15,15,25,Storm Soul,,A bread star that's bigger than normal. It tastes best when fresh made. It smells like the ocean somehow.
52,Bun,9,(Food),,,,1,Grain Powder,Coarse Salt,(Egg),(Food Ingredient),0,10,5,5,Water Power,,"A bun with a sweet filling. It's soft, sweet, and the cream filling tastes mysterious, yet distinct."
53,Meat Bun,12,(Food),,,,1,Grain Powder,(Meat),(Seasoning),(Egg),5,5,5,5,Nice w/ Liquid,,"A bun with meat filling. The juices explode in your mouth and fills you up. Buns come in all shapes and sizes, huh?"
54,Veggie Bun,14,(Food),,,,1,Grain Powder,(Vegetable),(Seasoning),(Egg),5,10,5,5,Nice w/ Plants,,A bun with veggie filling. Even kids will eat this. The veggie soup inside is sweet and like a dessert.
55,Country Bread,11,(Food),(Bread),,,1,Grain Powder,(Fermented),(Bean),(Fruit),0,0,5,15,Wind Power,,Made in the countryside. It feels strangely nostalgic. Eating it warms you to your soul.
56,Traditional Bread,20,(Food),(Bread),,,1,Grain Powder,(Fermented),Liquid Butter,(Egg),0,10,0,20,Heighten Power,,"Bread traditionally made at home. It's chewy and very delicious, but it really tires out my jaw..."
57,Stone Bread,30,(Food),(Bread),,,1,Grain Powder,(Fermented),Epicure Nut,(Ore),0,0,0,55,Rock Soul,Permanent Trait,Bread baked until it's very hard. How much do you have to knead the dough to make it this hard? I can't eat this...
58,Veggie Soup,6,(Food),(Soup),,,1,(Water),(Vegetable),(Seasoning),(Food Ingredient),15,5,0,10,Dirt Power,,"A nutritious soup filled with veggies. The effects change depending on what veggie you use. Bad veggie, bad soup."
59,Bean Soup,9,(Food),(Soup),,,1,(Water),(Bean),Coarse Salt,(Spice),0,10,0,20,Dirt Power,,"A soup with beans instead of veggies. Soups with grains fill you up more, but it's hard work to scoop up all the beans."
60,Sunset Broth,15,(Food),(Soup),,,1,(Water),(Meat),(Seasoning),(Food Ingredient),10,15,0,20,Well-Made,,A slow-stewed soup that took a long time to make. The taste is only as good as the amount of effort put into making it.
61,Hell Soup,21,(Food),(Soup),(Tonic),,1.5,(Water),Red Devil,(Meat),(Spice),15,20,0,25,Nice w/ Plants,Usage Control,A soup that's obviously spicy. It stings your eyes and nose just by looking at it. Some people love it.
62,Genug Water Pot,30,(Magic Tool),(Water),(Antique),,1,(Food Ingredient),Nimbus Stone,(Mystery),(Medicine),0,45,15,25,Drizzle Power,,A magic water pot that can make it rain. Having this will make growing veggies easy. Alchemy can do anything.
63,Mirage Mirror,33,(Magic Tool),(Metal),(Antique),,1,(Clay),(Precious Ore),(Jewel),Polish Powder,0,20,50,10,Tornado Power,,"It's a hazy mirror, making it hard to see yourself. If you stare long enough, a different person's face appears."
64,Weird Talisman,19,(Magic Tool),(Mystery),(Antique),(Jewel),1,(Mystery),(Gemstone),(Ancient Word),(Leather),0,0,25,10,Rock Power,,A special accessory worn by people in the past. Holding this while praying wards off bad things. Think it's true?
65,Power Totem,21,(Magic Tool),(Mystery),(Antique),,1,Earth Stone,(Clay),(Lumber),(Fuel),15,10,10,25,Storm Power,,"I don't know what it's for, but this thing looks strange. Staring at it scares me. Is it really just a decoration?"
66,Crystal Charm,32,(Magic Tool),(Precious Ore),(Antique),(Jewel),2,Polished Crystal,(Elixir),(Solution),Polish Powder,0,30,30,30,Water Spirit,,"A very pretty talisman. It's carved to look even, and it feels as if I'm protected by a magic power."
67,Needleless Shot,28,(Magic Tool),(Solution),,,2,Glass Powder,Soft Metal Rod,Steel Yarn Ball,(Medic. Ing.),0,20,25,30,Wind Spirit,,"A shot without needles! Wait, how does it get inside you without needles?"
68,Metastasis Wing,35,(Adventure),(Feather),(Access. Ing.),(Antique),1,(Feather),(Mystery),(Elixir),,30,30,30,30,Tornado Power,,Use this wing to return to a familiar place in an instant. But it's limited to places with cauldrons...
69,Artisan Whetstone,10,(Magic Tool),(Pottery),,,1,Soft Stone,(Metal),(Fuel),Polish Powder,0,0,0,20,Dirt Power,,A tool artisans use to forge weapons. It's used to sharpen weapons or make them shine.
70,Expert Whetstone,15,(Magic Tool),(Pottery),,,1,Pale Clay,(Metal),(Fuel),Polish Powder,15,0,0,30,Rock Power,,"This whetstone is used by especially skilled artisans. It's hard to use, but if you master it...amazing weapons!"
71,Soul Whetstone,20,(Magic Tool),(Pottery),,,1,Living Clay,(Metal),(Fuel),Polish Powder,20,0,0,35,Black Soil Power,,A hard whetstone that responds to the artisan's soul. I'm sure it'll make the weapon great!
72,Blade Whetstone,25,(Magic Tool),(Pottery),,,1,(Clay),(Metal),(Fuel),(Precious Ore),25,0,0,45,Earth Power,,A whetstone that only an artisan with the most delicate touch can use. I hear it can turn scraps into treasure!
73,Polish Dye,10,(Magic Tool),(Solution),,,1,(Water),Detergent,(Incense),(Cloth),0,15,0,0,Water Power,,"A dye used to dye cloth. It's odorless and colorless, so why use it? Depends on the synthesis ingredients, maybe."
74,Training Dye,15,(Magic Tool),(Solution),,,1,(Water),Polish Powder,(Cloth),(Gemstone),0,25,10,0,Rain Power,,"Used to dye cloth. After it soaks in, the color changes and reverts to the original color. What's the point?"
75,Magic Dye,20,(Magic Tool),(Solution),,,1,(Water),(Oil),(Elixir),(Cloth),0,35,20,0,Flood Power,,A magical dye that has colors that disappear after drying. What's the point of this?
76,Reflection Dye,25,(Magic Tool),(Solution),,,1,(Water),Medical Solution,Silver Liquid,(Cloth),0,45,25,0,Drizzle Power,,A dye used by witches to put on their clothes. Soaking this in your clothes will give it magical protection.
77,Cheese,9,(Food),(Food Ingredient),(Smelly),(Cheese),1,(Milk),(Milk),Coarse Salt,,0,5,10,20,Wind Power,Dirt Power,"Cheese made from cow's milk. Not much time has passed since it was made, but it has a taste that anyone can enjoy."
78,Aged Cheese,13,(Food),(Food Ingredient),(Smelly),(Cheese),1,(Milk),(Milk),Coarse Salt,(Fermented),0,10,20,20,Storm Power,Well-Made,Some time has passed to age this cheese. The taste is rich and it smells pungent. Some might not like it. I do.
79,Fermented Cheese,19,(Food),(Food Ingredient),(Smelly),(Cheese),1,Cheese,Coarse Salt,(Fermented),(Smelly),15,0,30,30,Tempest Power,Heighten Power,"It's aged and fermented. The mold makes the smell really strong. Some people can't eat it, but those who can, love it."
