Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Synth. Days,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,F,W,A,E,Trait 1,Trait 2,Description
45,Honey,6,(Food),(Food Ingredient),(Sweetener),,1,(Bee Hive),(Bee Hive),(Filter),,0,10,5,15,Wind Power,,"A beehive's honey. Depending on the location or season, the odor may change. I don't really care as long as it's yummy."
46,Golden Nectar,15,(Food),(Food Ingredient),(Sweetener),,1,(Sweetener),Liquid Butter,Honey,(Fuel),0,20,0,30,Nice w/ Plants,Nice w/ Liquid,Golden honey made from regular honey. The oil and fragrance accents the sweetness even more.
47,Strong Yarn,10,(Synthesis),(String),(Filter),,1,(Leather),(Liquid),(Oil),,0,10,0,20,Dirt Power,Well-Made,"A ball of yarn. It's soft and light, but it's pretty tough. It frays if you wash it too roughly."
48,Steel Yarn Ball,20,(Synthesis),(Metal),,,1.5,Soft Metal Rod,(String),(Oil),Polish Powder,15,0,0,30,Rock Power,Stable Matter,"A block of yarn made from iron threads. You can use it like yarn, but it's still made of iron, so things get real hard."
49,Cow Cream,12,(Food),(Food Ingredient),(Oil),,1,(Milk),(Oil),(Supplement),,0,15,0,15,Dirt Power,,"Made by processing cow milk. It's smooth and oily, and it's better off to be used as an ingredient for something else."
50,Fluffy Whip,10,(Sundry),(Sweetener),,,1,(Milk),(Egg),(Sweetener),,0,30,15,10,Rain Power,Nice w/ Liquid,"Made by whipping milk or other liquids. To make this well, you have to mix it deftly. I find it really tiring."
51,Detergent,8,(Sundry),(Medic. Ing.),,,1,(Oil),(Solution),(Incense),Baby's Breath,0,15,10,10,Water Power,,"Bubbly detergent. Using this will clean your clothes and remove any stains. It makes it smell fresh and clean, too."
52,Adhesion Jelly,20,(Sundry),(Medic. Ing.),,,1.5,Gelatinous Oil,(Solution),Marsh Slime,,0,15,0,10,Well-Made,Nice w/ Ore,"The jelly is bouncy, but once it dries, it hardens and never lets go. Using this can glue many things together."
53,Melt Steel,30,(Synthesis),(Metal),(Antique),,2,(Metal),Scorching Ore,(Fuel),(Charcoal),25,10,20,35,Black Soil Power,Stable Matter,"Melted metal, plain and simple. It's easier to process than regular iron and can be used for synthesis."
54,Scorching Drink,32,(Synthesis),(Liquid),(Poison),(Solution),2,Fire Spirit Breath,Nectar Water,(Fuel),Medical Solution,50,25,25,15,Flame Soul,Usage Ease,Drinking this liquor will burn up your body. People say that liquor heals many ailments. I'll try it when I grow up.
55,Polished Crystal,15,(Jewel),(Mystery),,,1.5,(Crystal),Polish Powder,(Liquid),(Mystery),10,15,25,35,Water Power,,"The crystal is polished to look shiny. It's valuable as a jewel and is a good ingredient for synthesis, too."
56,Flan Charcoal,17,(Sundry),(Fuel),(Charcoal),(Filter),1.5,(Lumber),(Fuel),(Gunpowder),,35,0,0,15,Fire Soul,Great w/ Ore,"This charcoal is processed to be more effective. Igniting it will set it on fire, but it can also absorb dirt in water."
57,Medical Solution,28,(Synthesis),(Liquid),(Solution),,1,Everpure Water,Pixie Breath,(Medic. Ing.),(Poison),0,55,20,30,Rain Soul,Great w/ Liquid,A liquid with medicinal properties. Refining it makes high quality medicine. But the effects might be too much...
58,Rich Fertilizer,16,(Sundry),(Nutritional),(Poison),(Smelly),1,Cow Dropping,(Plant),(Fermented),(Liquid),15,10,5,35,Well-Made,Great w/ Plants,"Gathered, hardened fertilizer. It smells bad, but using this will help crops grow. Um, let's keep it outside..."
59,Tonic,20,(Sundry),(Nutritional),(Supplement),,1,(Plant),(Tonic),(Nutritional),Distilled Water,20,20,20,20,Heighten Power,Nice w/ Plants,"Full of nutrients to help plants grow. Fertilizer can wither plants if you use too much, but not with tonics!"
60,Supplement-Red,5,(Supplement),,,,0.5,(Gunpowder),(Liquid),,,25,0,0,0,Fire Power,,"The most basic ingredient used in alchemy. The higher the quality, the better the result. This has a burning red color."
61,Supplement-Blue,5,(Supplement),,,,0.5,(Flower),(Liquid),,,0,25,0,0,Water Power,,"The most basic ingredient used in alchemy. The higher the quality, the better the result. This has a clear blue color."
62,Supplement-Green,5,(Supplement),,,,0.5,(Lumber),(Liquid),,,0,0,25,0,Wind Power,,"The most basic ingredient used in alchemy. The higher the quality, the better the result. This has a pale green color."
63,Supplement-Gold,5,(Supplement),,,,0.5,(Clay),(Liquid),,,0,0,0,25,Dirt Power,,"The most basic ingredient used in alchemy. The higher the quality, the better the result. This has a muddy yellow color."
64,Success Ring,29,(Accessory),(Jewel),,,1,(Gemstone),Soft Metal Rod,(Lucky Charm),,0,0,0,30,Expand Power,,A ring with very small ancient words carved into it. Wear it and have a wish granted. That sounds wonderful!
65,Mystery Talisman,27,(Accessory),(Precious Ore),,,2,(Access. Ing.),(Mystery),(Ancient Word),(String),0,0,30,0,Stable Matter,,"A talisman with an air of mystery. Carrying it can ward off misfortune, but I wonder if that's really true..."
66,Phoenix Bracelet,37,(Accessory),(Elixir),,,2,(Clay),(Legendary),(Bone),Scorching Ore,40,0,0,0,Flame Soul,,A 3-layer bracelet. Lining them up will create a bird-like pattern. If you wear them in the wrong order? No effect.
67,Medical Earring,20,(Accessory),(Ore),,,1,(Ore),(Medic. Ing.),(Dried Plant),(Elixir),0,0,0,20,Dirt Soul,,An earring made from a stone that was used as medicine in the past. It's an accessory that apothecaries pass down.
68,Unglazed Charm,17,(Accessory),(Pottery),,,1,(Clay),(Mystery),(String),(Lucky Charm),10,0,0,10,Rock Soul,,"A charm made by cooking dirt. It doesn't have magical properties, but you can avoid injury by keeping it close."
69,Feather Pin,14,(Accessory),(Lucky Charm),,,1,(Feather),(Access. Ing.),(String),,0,0,10,0,Wind Soul,,A pretty feather accessory. Hunters sometimes take parts from their prey to make things like this to sell. It's cute.
70,Potpourri,10,(Accessory),(Incense),,,1,(Flower),(Cloth),(Herb),,20,0,0,0,Nice w/ Plants,,"A bag with a flowery scent. Holding this gives off a good aroma, so women carry it as a fashion statement. Mmm!"
71,Fur Gloves,12,(Accessory),(Cloth),,,1,(String),(Leather),(Paper),(Oil),0,10,0,0,Well-Made,,A puffy glove made with fur. Cold seasons are more bearable with this. The rich love exchanging high quality ones.
72,Dragon Scale Icon,36,(Accessory),(Legendary),,,2,(Scale),Melt Steel,(Access. Ing.),Polish Powder,30,0,0,0,Release Power,,Made by processing a dragon's scale. It looks cool and I feel stronger just by wearing it.
73,Shadow Cloak,34,(Accessory),(Antique),,,2,Night Fog Bottle,(Cloth),(String),(Jewel),0,0,0,40,Usage Null,,A robe that's dyed black. Wearing this makes you hard to see in the dark. Maybe it's used to hide...
74,Soul Trap Chain,32,(Accessory),(Metal),,,2,(Legendary),Steel Yarn Ball,Soul Slag Stone,(Ancient Word),0,40,0,0,Stagnation,,"A chain accessory said to trap souls. I feel suffocated when I wear it. It looks cool, but..."
75,Silent Shoes,21,(Accessory),(Sundry),,,1,Magisha Sheet,(Leather),(Oil),(Cloth),0,0,20,0,Rain Soul,,"Your footsteps disappear with these shoes. Your feet won't get wet in the rain either, so these are very convenient."
76,Fortune Card,23,(Accessory),(Mystery),,,1,(Paper),Memory Ink,(Flower),(Lucky Charm),0,20,0,0,Great w/ Plants,,A card with flower patterns for fortunetelling. It can ward off evil just by carrying it with you.
77,Resonance Bell,27,(Accessory),(Pottery),,,1,(Pottery),Polished Crystal,(Lumber),Pixie Breath,0,30,0,0,Wind Spirit,,"When one rings, the other one follows suit. It was made for travelers to check on each other's safety. It works."
78,Glass Tiara,30,(Accessory),(Lucky Charm),,,2,Glass Rod,(Jewel),(Precious Ore),(Crystal),0,0,40,0,Storm Soul,,"A glass hair accessory with pretty jewels. Wearing it makes you feel classy and have better concentration. Men, too."
79,Nimbus Stone,30,(Magic Tool),(Ore),,,1,(Ore),(Mystery),Distilled Water,Polish Powder,0,50,0,0,Rain Soul,Great w/ Ore,Split this stone to make rainclouds. It's used in regions with drought. It seems folks back then needed alchemy.
80,Slag Transmitter,35,(Magic Tool),(Jewel),(Mystery),,3,Crystalline Ether,Lightning Stern,Soul Slag Stone,Polish Powder,0,0,30,30,Storm Power,Stable Matter,A stuffed animal in the shape of a slag. It has a transmitter that shows where the owner is. I can always find Nio with it.
81,Dragon Talisman,1,(Important),(Accessory),,,,,,,,50,50,50,50,,,A talisman made from the dragon's tusk. Juris had complex feelings as he made this for me. That's nice.
82,Madder Iron,20,(Synthesis),(Mystery),(Metal),(Jewel),1,Phlogiston,(Ore),(Elixir),,30,0,0,0,Flame Soul,Flame Power,A reddish block of metal that Bell asked for. I can finally synthesize this after she taught me. It's needed for magic.
