Order,Name,Level,Category 1,Category 2,Category 3,Category 4,Quality,F,W,A,E,Score,Value,Trait 1,Trait 2,Property 1,Property 2,Property 3,Property 4,Property 5,Description,Location 1,Location 2,Location 3,Location 4,Location 5,Monster 1,Monster 2,Monster 3,Monster 4,Notes
32,Awakening Herb,4,(Plant),(Medic. Herb),(Herb),,45,20,10,5,10,31,7,Wind Power,,Nice Smell,,,,,A plant with a refreshing scent that wakes you up in the morning. It's a custom to put it by your bed to sleep well.,Half-Florescent Field,Fragrant Wind Meadow,,,,Grass Element,,,,
33,Dried Root,2,(Plant),(Root),(Dried Plant),(Fuel),40,5,0,0,10,26,5,Dirt Power,,,,,,,"The dried root of an unknown plant. It doesn't have many nutrients, so it's not food. I use it as a medicine filler.",Altugle Herb Garden,Herb Garden-Corridor,Mountain Way,Pasture Way,Hidden Paradise,Fruit Hamster,,,,
34,Rich Root,9,(Plant),(Root),,,70,0,10,5,20,48,12,Well-Made,Dirt Power,Some Nutrition,,,,,"This root looks nutritious. We don't know what it's a root of, but it's good as filler for medicine. I think.",Grand Rocky Mountain,,,,,Poison Squirrel,,,,
35,Flame Root,16,(Plant),(Root),(Gunpowder),,60,35,0,0,15,37,13,Fire Spirit,Flame Power,Fire Guard,,,,,A warm root that looks like it could burn up. Its size changes based on the kind of environment it grew in.,Salt Desert-Mountain,Hidden Paradise-Earth,,,,,,,,
36,Earth Root,21,(Plant),(Root),(Elixir),,85,0,15,10,50,53,22,Earth Spirit,Dirt Soul,Regenerative,,,,,"Probably grown in a good environment, it's a big root packed with nutrition. It just might be edible!",Riesengang-Lower,Hidden Paradise-Fire,,,,Bitter Squirrel,,,,
37,Cure Fruit,6,(Food Ingredient),(Medic. Ing.),(Fruit),,50,0,5,20,0,30,8,Wind Power,,Prevent Ailment,,,,,"A fruit used in apothecaries as an ingredient for medicine. It's not ripe and a bit small, but it's good when ground up.",Hallos Village,Constant Bower Woods,,,,,,,,
38,Ripe Cure Fruit,17,(Food Ingredient),(Medic. Ing.),(Fruit),(Fermented),75,0,10,30,0,47,16,Storm Power,Heighten Power,Prevent Ailment,,,,,"A round and ripe Cure Fruit. It's bitter when unripe, but very sweet when ripe. Good for children's medicine!",Oesten Marshland,Hidden Paradise-Water,,,,,,,,
39,North Wind Fruit,23,(Food Ingredient),(Medic. Ing.),(Fruit),(Elixir),65,10,15,25,0,39,17,Well-Made,Tempest Power,North Wind Guard,,,,,This Cure Fruit withstood the cold winds and still bore fruit. It's able to store more nutrients than normal.,Waterfall Island,Hidden Paradise-Wind,,,,Green Element,,,,
40,Beast Meat,9,(Food Ingredient),(Meat),,,50,0,5,0,20,33,9,Dirt Power,,,,,,,"Meat from an animal. Simply salting and peppering it is how miners eat it. It's raw, thus very perishable.",Deserted House,,,,,Stray Dog,Flesh Eater,Howling Beast,,
41,Dangerous Meat,6,(Food Ingredient),(Meat),(Poison),(Fermented),25,10,10,10,15,14,6,Dirt Power,Stagnation,Weakening Poison,Stinky,,,,"Meat from an animal, but it's colored funny and smells icky. It might be better for your health to avoid eating this.",,,,,,,,,,
42,Fresh Meat,19,(Food Ingredient),(Meat),,,75,0,15,0,35,54,17,Black Soil Power,,Juicy,,,,,"Freshly harvested meat. It's so fresh, you might be able to eat it as is. It'll be even better when cooked.",Hidden Paradise-Water,,,,,Flesh Eater,Howling Beast,Wolf,,
43,Gold Meat,30,(Food Ingredient),(Meat),,,100,15,0,15,50,61,29,Earth Power,,Reinforce Body,,,,,Delicious meat laced with fat that glitters. Gourmets will travel the world and get into fist fights for this meat.,Yggdrasil,Hidden Paradise-Sky,,,,Wolf,,,,
44,Lump of Fat,11,(Food Ingredient),(Meat),(Oil),,60,10,15,0,5,41,11,Rain Power,Good w/ Plants,Soft,,,,,A lump of fat taken from things like meat. It's best when used for cooking. Not a lot of people eat it as is.,Oesten Marshland,Oesten Marsh-Ruin,Oesten Marsh-Swamp,,,Fake Ruin,,,,
45,Marsh Slime,14,(Natural),(Slime),(Oil),,40,0,15,0,10,24,9,Division,,Heavy Body,,,,,"A slimy substance floating on the surface of marshlands. It looks dirty, but it can be used for something.",Oesten Marshland,Oesten Marsh-Ruin,,,,,,,,
46,Ether Bubble,20,(Natural),(Elixir),(Mystery),(Slime),80,15,15,15,15,59,19,Multiplication,Stagnation,Auto Activate 50%,,,,,"A rare bubble-like thing with mysterious power. It's still nasty, but it can be used for many things.",Riesengang-Lower,Hidden Paradise-Fire,,,,Keithgriff,,,,
47,Big Bone,6,(Animal),(Medic. Ing.),(Bone),(Access. Ing.),50,5,0,10,15,35,8,Dirt Power,,Big,,,,,A big bone from an unknown creature. You can pulverize it to be used in medicine. It's a bit heavy to carry around.,Constant Bower Woods,Grassland Hill,,,,,,,,
48,Bone Fossil,13,(Animal),(Medic. Ing.),(Bone),(Mystery),60,10,10,0,30,37,12,Rock Soul,Good w/ Ore,Life Capture,,,,,"Possibly due to its old age, this bone has fossilized. They say the older, the better for making medicine, but I dunno...",Tunnel-Dried Waterway,Salt Desert,Salt Desert-Hill,Salt Desert-Lighthouse,,,,,,
49,Black Bone,20,(Animal),(Medic. Ing.),(Bone),(Gunpowder),80,0,15,15,35,47,20,Black Soil Power,Nice w/ Plants,Burn Furiously,Good Quality,,,,"No one knows how it turned out like this, but this bone is black. It seems old, so I wonder if I should use it...",Oesten Marsh-Ruin,Salt Desert-Mountain,Steinfeder,Hidden Paradise-Fire,,,,,,
50,Dragon Bone,26,(Animal),(Medic. Ing.),(Bone),(Access. Ing.),90,35,10,10,20,63,25,Flame Soul,Expand Power,Stats +4,Dragon Wave,,,,"The bone of a dragon from ancient times. It's very heavy and hard, making it difficult to use. It seems mystical.",Salt Desert-Mountain,Hidden Paradise-Wind,,,,Amethyst Drake,,,,
51,Mtn. Bird Egg,2,(Food Ingredient),(Egg),(Oil),(Smelly),45,0,0,15,10,32,6,Wind Spirit,,Some Nutrition,,,,,"An egg from a bird that lives in the mountains. It's full of nutrition, but it's also fragile. Handle with care.",Nearby Forest,Hidden Paradise,,,,,,,,
52,Seabird Egg,7,(Food Ingredient),(Egg),(Oil),(Smelly),55,10,0,15,0,40,8,Wind Power,Well-Made,Full Nutrition,,,,,"A very fragile seabird egg. It's packed with nutrition and is quite delicious, but you have to be careful with it.",Hallos-Residences,Hallos-Plaza,,,,,,,,
53,Extinct Bird Egg,15,(Food Ingredient),(Egg),(Oil),(Smelly),70,0,10,30,15,44,16,Storm Soul,Wind Power,Ancient Taste,,,,,"An egg so delicious, everyone hunted it to extinction. Seeing that the egg exists, the birds might not be extinct yet!",Oesten Marshland,Hidden Paradise-Earth,,,,,,,,
54,Egg Stone,20,(Ore),(Elixir),(Mystery),(Lucky Charm),80,10,0,20,45,41,21,Rock Soul,Rock Power,Amplification,Mystic Guard,All Power Pour,,,"An egg-shaped stone. It feels mystical and precious, so I'm not sure how to use it. Maybe I can use it for medicine?",Oesten Marsh-Ruin,Decayed Ruin Island,Hidden Paradise-Fire,,,White Spirit,,,,
55,Phlogiston,19,(Natural),(Gunpowder),(Fuel),,70,25,0,20,0,43,16,Fire Spirit,Fire Soul,Burn Furiously,,,,,A crystal that creates sparks when rubbed against each other. It must be processed in some way to use it.,Hallos Village,Hallos-Residences,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,,,,,
56,Aqua Light,19,(Natural),(Liquid),(Slime),,70,0,25,10,20,44,17,Water Spirit,Water Soul,Healing Water,,,,,"Crystals that, when rubbed together, make water flow out. It's useless on its own, but we can make an item out of it.",Dry Valley-Lake Bed,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Salt Desert,,,,,
57,Wind Core,19,(Natural),(Mystery),(Elixir),(Gemstone),70,20,0,25,0,41,16,Wind Spirit,Wind Soul,Lightweight,Lightning Guard,,,,A crystal that whistles when you rub one against another. Something light can be made by processing it.,Glass Factory-3F,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Serenity Island,,,,,
58,Earth Stone,19,(Natural),(Clay),(Nutritional),,70,0,20,0,25,42,16,Earth Spirit,Dirt Soul,Earth Guard,,,,,A crystal that crumbles when you rub one against another. Processing it will make it harder.,Riesengang-Upper,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Decayed Ruin Island,,,,,
59,Soft Stone,3,(Ore),(Clay),,,30,0,0,0,10,21,3,Good w/ Ore,,Soft,,,,,"A damp, slushy, and soft stone. It can harden into the shape it dries in, but it cracks easily. Water makes it soft again.",Tunnel,Tunnel-Broken Bridge,Old Coal Mine,Hidden Paradise,,,,,,
60,Peat,2,(Ore),(Clay),(Fuel),(Charcoal),40,10,0,0,20,28,6,Dirt Power,Fire Power,Price -10%,,,,,"It may look like a soft stone, but heating it will make it burn like coal. It needs lots of heat, so it's hard to use.",Tunnel,Tunnel-Broken Bridge,Old Coal Mine,Hidden Paradise,,,,,,
61,Pale Clay,8,(Ore),(Clay),,,70,0,10,0,20,49,11,Nice w/ Ore,,Perky,,,,,"Creepy dirt that gives off a pale glow. It's bluish because of the minerals inside. It's not hard, and easy to process.",Tunnel,Oesten Marshland,Oesten Marsh-Ruin,,,,,,,
62,Living Clay,12,(Ore),(Clay),(Elixir),,55,0,15,10,20,38,11,Dirt Power,Multiplication,Auto Activate 20%,,,,,It's said that items made with this rock move on their own. It's scary because it really twitches...,Tunnel-Old Dam,Oesten Marshland,Oesten Marsh-Ruin,,,Yellow Element,,,,
63,Iron Mixed Stone,1,(Ore),(Metal),,,40,0,0,0,15,26,4,Dirt Power,,,,,,,"A hard stone found in caves. Refining lots of them can make iron, but it won't be very pure.",Tunnel,Tunnel-Broken Bridge,Old Coal Mine,Hidden Paradise,,,,,,
64,Bronze Ore,6,(Ore),(Metal),,,55,10,0,0,25,38,9,Rock Power,,Skill Usage -10%,,,,,A reddish ore that can be refined to get bronze. It's tougher than low quality iron.,Tunnel,Tunnel-Broken Bridge,Fragrant Wind Meadow,,,,,,,
65,Pyrite Stone,9,(Ore),(Metal),,,65,5,5,5,25,51,12,Dirt Power,Good w/ Ore,PH RES +5,Skill Usage -15%,,,,"An iron mineral with a pale yellow color. Refining it will yield good quality iron, so many people stock up on it.",Riesengang-Upper,Riesengang-Middle,Tunnel,Glass Factory,Glass Factory-2F,,,,,
66,Star Stone,12,(Ore),,,,60,15,0,25,15,43,13,Storm Power,,Really Hard,,,,,"A mysterious stone with unknown properties. There's no iron, but it glitters. I wonder if it has any uses...?",Glass Factory,Glass Factory-2F,Glass Factory-Core,Grand Rocky Mountain,,Yellow Element,,,,
67,Green Gemstone,22,(Gemstone),,,,75,0,10,35,20,47,19,Tempest Power,Wind Soul,Lightning Power,,,,,"A gemstone with a green hue. Gemstones are precious, so polishing it to make accessories is lucrative.",Riesengang-Middle,Hidden Paradise-Fire,,,,,,,,
68,Blue Gemstone,22,(Gemstone),,,,80,0,45,20,20,50,22,Flood Power,Water Soul,Ice Power,,,,,"A gemstone with a blue hue. When it's transparent, it feels like you're swimming in the ocean...",Riesengang-Middle,Hidden Paradise-Fire,,,,,,,,
69,Rouge Gemstone,22,(Gemstone),,,,85,45,10,0,20,53,22,Hellfire Power,Fire Soul,Fire Power,,,,,A gemstone with a red hue. Shining light on it reflects an image resembling a roaring fire. It can be refined...,Riesengang-Middle,Hidden Paradise-Fire,,,,,,,,
70,Pretty Ore,15,(Ore),(Access. Ing.),,,70,0,15,0,15,56,14,Nicely Made,Heighten Power,Price +5%,Beautiful Form,,,,"A very pretty ore. It's very pure, so it glitters under any light. It might look like a gem when polished.",Glass Factory,Hidden Paradise-Earth,,,,,,,,
71,Big Gemstone,23,(Ore),(Access. Ing.),,,90,15,0,0,55,59,23,Black Soil Power,Dirt Soul,Big,Power Pour,,,,A big gemstone that's heavy and hard to carry. It might be a jewel if I polish it. But who would want one so big?,Salt Desert-Bones,Hidden Paradise-Wind,,,,,,,,
72,Shining Crystal,17,(Ore),(Mystery),,,80,0,10,20,15,48,18,Storm Power,,Virtual Image,,,,,"A shining crystal. Its size varies, but they all have pretty patterns. Accessories made with this are gorgeous.",Glass Factory,Hidden Paradise-Water,,,,,,,,
73,Eternal Crystal,6,(Ore),(Mystery),,,50,0,10,0,10,30,7,Stable Matter,,Suppress Movement,,,,,"A snow crystal that will not melt. It stays cold, but no one knows why. It's a mystery.",Riesengang-Upper,Riesengang-Middle,Tunnel-Broken Bridge,Hallos-Plaza,,,,,,
74,Prisma Crystal,12,(Ore),(Lucky Charm),(Mystery),,70,0,15,25,15,38,15,Storm Power,,Rainbow Light,Show Illusion,,,,"This strange crystal crackles and shines. Touching it will prick you something fierce, but it's not sharp. Weird!",Glass Factory-3F,,,,,,,,,
75,Crystal Stone,8,(Gemstone),(Crystal),(Mystery),,60,0,10,10,5,37,10,Wind Power,,Acoustic Resonance,,,,,"A pretty white crystal ore. Unlike other minerals, it's pretty and mystic. How does it get such a mysterious shape?",Tunnel-Old Dam,Tunnel-Dried Waterway,Glass Factory,Glass Factory-2F,Glass Factory-Core,Fake Ruin,,,,
76,Amethyst Stone,16,(Gemstone),(Crystal),(Mystery),,75,0,15,20,10,45,15,Wind Soul,Good w/ Ore,Acoustic Resonance,Lose Power,,,,"A rare purple crystal ore. It looks mysterious, and the color makes it feel even more so. Still, it's very pretty.",Glass Factory,Hidden Paradise-Earth,,,,,,,,
77,Night Crystal,25,(Gemstone),(Crystal),(Mystery),(Poison),90,15,25,20,15,53,24,Tornado Power,Nice w/ Ore,Acoustic Resonance,Compound Poison,,,,"A pitch black crystal ore. It's opaque and gives off an ominous vibe. It's rare, so maybe it's really valuable.",Salt Desert-Bones,Hidden Paradise-Wind,,,,,,,,
78,Corundum Stone,20,(Gemstone),(Precious Ore),,,80,0,0,25,25,45,18,Great w/ Ore,,High Power,Good Quality,,,,A mineral in multiple sheeted layers. It's very heavy and difficult to carry. There may be rare minerals inside.,Glass Factory-Core,Steinfeder,Hidden Paradise-Fire,,,Drunk Slag,,,,
79,Aurora Stone,30,(Gemstone),(Elixir),(Precious Ore),,90,20,20,20,20,55,26,Amazingly Made,Usage Ease,Red Power,,,,,"A mysterious mineral with a rainbow of colors. No one knows why. With some refinement, it can get really hard.",Steinfeder,Hidden Paradise-Sky,,,,,,,,
80,Glass Core,14,(Ore),,,,25,10,0,25,15,13,8,Wind Soul,,Glass Power,,,,,"A large mineral that has jewel shards inside. If the shards were bigger, it could have been more precious.",Glass Factory,Glass Factory-2F,Glass Factory-3F,Glass Factory-Core,,,,,,
81,Luminous Gemstone,12,(Ore),(Poison),,,55,0,10,10,20,33,11,Earth Spirit,,Weakening Poison,,,,,"A rare gemstone that absorbs light. It's a little toxic, so it must be handled with care. It'd make a neat light!",Glass Factory-3F,,,,,Carrier,,,,
82,Bright Ore,16,(Ore),(Mystery),(Precious Ore),,75,20,10,15,20,47,17,Storm Soul,,Light Power,,,,,"A pure, luminous stone. It's non-toxic and absorbs lots of light. If we had a bunch, the towns could be bright at night.",Riesengang-Lower,Glass Factory-2F,Hidden Paradise-Earth,,,Tracker,,,,
83,Scorching Ore,12,(Ore),(Gunpowder),(Fuel),,65,20,0,10,15,40,13,Fire Power,Great w/ Ore,Burn Furiously,,,,,A scorching hot mineral. Processing it can turn it into fuel or bombs. I better be careful with it.,Tunnel-Broken Bridge,Glass Factory-3F,,,,Porter,,,,
84,Diamond Gemstone,30,(Ore),(Gemstone),,,90,15,15,15,50,64,28,Usage Null,Stagnation,Diamond Power,ATK +8,,,,A glittering gemstone that's supposed to be valuable. I wonder if something this hard can even be used.,Steinfeder,Hidden Paradise-Sky,,,,Gatekeeper,Fortress,Packer,,
85,Moon's Gold Vein,40,(Ore),(Precious Ore),,,100,0,20,20,30,62,31,Amazingly Made,Release Power,Moon Power,,,,,"A precious mineral that has gold mixed in. It makes the minerals around it harder. Smooth, but hard to process.",Steinfeder,Hidden Paradise-Sky,,,,Mecha-Dragon,Rampage Dragon,Assassin,,
86,Beehive,1,(Natural),(Bee Hive),(Gunpowder),(Seasoning),30,10,0,0,5,22,3,Well-Made,,Sweet,,,,,A beehive that can be found in the forest. There is lots of honey inside. Process it to make lots of honey!,Nearby Forest,Harvestful Forest,Hidden Paradise,,,Heavy Skin,Steel Skin,,,
87,Queen Bee Hive,12,(Natural),(Bee Hive),(Gunpowder),(Seasoning),55,15,0,15,10,39,11,Usage Control,,Really Sweet,,,,,A hive with a queen bee and lots of honey inside. It's very heavy and the bees attack you when you try to take it.,Spring Water Forest,,,,,,,,,
88,Silver Hive,16,(Natural),(Bee Hive),(Gunpowder),(Seasoning),65,0,15,30,0,41,15,Usage Ease,,Silver Honey,Price +10%,,,,A hive filled with silver-colored honey. The whole hive glitters and looks tasty.,Oesten Marsh-Ruin,Hidden Paradise-Earth,,,,,,,,
89,Gold Hive,24,(Natural),(Bee Hive),(Gunpowder),(Seasoning),75,25,20,0,40,48,24,Usage Null,Stable Matter,Gold Honey,Price +15%,,,,"A rare, glittery hive. The honey inside has aged for years, giving it a very thick texture that's second to none.",Cloud Sea Island,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate,Hidden Paradise-Wind,Alchemy Rat,,,,
90,Bitter Melon,9,(Food Ingredient),(Fruit),(Vegetable),,40,0,25,0,5,29,7,Water Power,,Bitter,Sweet,,,,"A melon that's green even inside. It's sweet, with a bitter accent. Processing it might yield good sugar.",Delusion Forest,,,,,,,,,
91,Old Melon,13,(Food Ingredient),(Fruit),(Vegetable),,55,0,40,0,15,34,12,Rain Power,Good w/ Liquid,Ancient Taste,,,,,"A sweet melon that has ripened for a long time. The bitterness is gone, so it's easy to eat.",Salt Desert-Lighthouse,Grand Rocky Mountain,,,,,,,,
92,Honey Melon,20,(Food Ingredient),(Fruit),(Vegetable),,70,0,55,0,0,50,17,Flood Power,Nice w/ Liquid,Super Sweet,,,,,A freshly-bore fruit that is very sweet. It's of a rare species that's sweeter when it's not ripe.,Beginning Island,Hidden Paradise-Fire,,,,Green Element,Jade Beast,,,
93,Sugar Tree Sap,11,(Liquid),(Seasoning),(Sweetener),(Fermented),55,0,25,0,10,38,10,Rain Power,Well-Made,Sweet,,,,,"Sap from a sugary tree. It tastes good, but it's better as a syrup. In a certain land, it's a children's candy.",Pond Forest,,,,,,,,,
94,Fermented Syrup,15,(Liquid),(Seasoning),(Sweetener),(Fermented),75,0,20,5,10,54,14,Great w/ Liquid,,Sour,Skill Usage -10%,,,,"Fermented fruit juice. It's not rotten. It fermented naturally, so you won't get food poisoning from it.",Waterfall Island,Serenity Island,Cloud Sea Island,Hidden Paradise-Earth,,,,,,
