,en,,ja,,Type,Properties,Level,evalue,Fire,Water,Wind,Earth,Categories,Effect,Item Size,Equipped by,HP,MP,ATK,DEF,SPD,res f,res w,res wi,res e,Locations,Dropped by,index
amber-soil,Amber Soil,Golden soil. From a distance it looks like gold or grain.,琥珀の土,黄金色の土。遠くから見ると金や穀物の山のようにも見える,Material,"earth-curse,hp-10,,,",10,25,0,0,0,1,"clay,seasoning,,",70,,",,,,,,,,,,",,,,,,,,,,"withering-plains,,","yellow-spirit,,,,,",20
lethe-grass,Lethe Grass,The extract of this flower is used as an anesthetic.,忘却の傷無し草,この花から抽出されるエキスを服用すると、わずかの間だがケガをしても痛くなくなる,Material,"healing-up,,,,",10,15,1,0,0,1,"plant,elixir,,",70,,",,,,,,,,,,",,,,,,,,,,"withering-plains,,","fell-sickle,,,,,",21
river-water,River Water,"Cold, pure water from deep beneath the ground.",地の河の溜まり,長時間をかけて地底の水脈を流れていた水。全く不純物がない純水となっている,Material,"effect-up,,,,",7,10,0,1,0,1,"liquid,natural,,",60,,",,,,,,,,,,",,,,,,,,,,"withering-plains,,",",,,,,",22
legged-radish,Legged Radish,A flavorful dry root that looks vaguely like a person.,即身大根,からからに乾いた大根。乾いている分うまみが凝縮されている。人の姿のようにも見える,Material,"effect-up-plus,inherit-pp-7,,,",14,30,1,0,0,0,"vegetable,medic-ing,seasoning,",40,,",,,,,,,,,,",,,,,,,,,,"searing-wastes,,",",,,,,",23
buoyant-gas,Buoyant Gas,"A lighter-than-air gas. If put into a thin container, it will float away.",天昇りの気体,空気より軽い空気。軽い入れ物に入れると入れ物ごと空に上っていったりする,Material,"destruction-up-plus,,,,",12,15,1,0,1,0,"gas,fuel,natural,",70,,",,,,,,,,,,",,,,,,,,,,"searing-wastes,,",",,,,,",24
blaze-ore,Blaze Ore,A mineral formed by fire. It is strong and tough to work with.,炎天の原石,炎の中から生まれた鉱石。燃え盛るように赤く、熱にとても強いので加工しにくい,Material,"fire-damage,hp-15,,,",15,35,1,0,0,0,"ore,jewel,,",80,,",,,,,,,,,,",,,,,,,,,,"searing-wastes,,","hungry-steel-beast,,,,,",25
unburning-web,Unburning Web,"Strong, flame- resistant spider webs. These have a number of uses.",燃えないクモ糸,火にくべても燃え残る、丈夫なクモの糸。その性質を利用して色々な材料に使われる,Material,"fire-resist,light-movement,,,",11,30,0,0,0,1,"string,natural,,",70,,",,,,,,,,,,",,,,,,,,,,"searing-wastes,,","fake-ruin,,,,,",26
lotus,Lotus,A plant that blooms by water. The flower makes a noise on opening.,蓮,水辺に浮かぶように花を咲かせる植物。花が開くとき、音がするらしい,Material,"calming-effect,,,,",10,15,0,1,0,1,"plant,mystery,medic-ing,",70,,",,,,,,,,,,",,,,,,,,,,"abandoned-river,,",",,,,,",27
mantis-blade,Mantis Blade,A large claw from a mantis-type monster. It is very sharp.,カマキリの刃,大型のカマキリ型の魔物の持つカマ。硬くて鋭いためとてもよく切れる,Material,"follow-up-attack,,,,",14,20,1,0,1,0,"animal,meat,metal,",80,,",,,,,,,,,,",,,,,,,,,,"slag-graveyard,,","scissor-beast,flame-scythe,fell-sickle,death-scissor,,",28
fairy-soul,Fairy Soul,Floating balls of light said to guide lost people in dark forests.,フェアリーソウル,空中を漂う丸い光の玉。暗い森の中で光り輝く。迷った旅人の道案内をしてくれるという,Material,"fairy-power,weaken-ailments,,,",11,15,0,1,1,0,"synthesis,seasoning,,",70,,",,,,,,,,,,",,,,,,,,,,",,","green-spirit,red-spirit,blue-spirit,yellow-spirit,,",29
bubbling-water,Bubbling Water,A black liquid that releases foul gas. It doesn't seem tasty.,泡立つどろ水,不快なにおいのガスを発し続けている黒い液体。飲むのは当然、触るのもためらうほど,Material,",,,,",15,20,0,1,0,1,"liquid,smelly,gunpowder,",40,,",,,,,,,,,,",,,,,,,,,,"abandoned-river,,",",,,,,",30
slag-antenna,Slag Antenna,"A mysterious, transparent horn from a Slag. It's very hard.",スラグアンテナ,スラグから取れる、透明感がある角状の不思議な物体。堅い,Material,"quick-use,,,,",8,10,1,0,1,0,"slag-parts,ancient-power,,",50,,",,,,,,,,,,",,,,,,,,,,"slag-graveyard,,","guard,watchman,officer,flounder,,",31
slag-memory,Slag Memory,A shining Slag part. You have no idea what part it is.,スラグメモリー,スラグの身体の一部で光っている。何の部位なのかは全く分からない,Material,"slow-movement,,,,",14,20,1,1,0,0,"slag-parts,metal,,",70,,",,,,,,,,,,",,,,,,,,,,"slag-graveyard,,","fake-ruin,bad-treasure,black-box,pandora,flatfish,flounder",32
slag-heart,Slag Heart,"This is apparently a vital Slag part, but you have no idea what it does.",スラグハート,スラグの身体の一部。急所のように見えるが実際に何の部位かは分からない。,Material,"area-bonus,time-type,,,",17,15,1,0,1,1,"slag-parts,meat,,",80,,",,,,,,,,,,",,,,,,,,,,"slag-graveyard,,","carrier,tracker,porter,flatfish,flounder,",33
slag-cable,Slag Cable,"This seems to be a Slag's tail. It is tough, but also moves very easily.",スラグケーブル,スラグの身体の一部でしっぽのように伸びている部位。堅いのに自在に動く,Material,"last-use-bonus,,,,",11,15,0,1,0,1,"slag-parts,string,,",60,,",,,,,,,,,,",,,,,,,,,,"slag-graveyard,,","mini-slag,nano-slag,pico-slag,flatfish,,",34
ancient-jerky,Ancient Jerky,"Ancient beast meat, dried and aged so much that it resembles wood.",古代獣の肉片,古くから存在している獣の肉片。乾燥して小さく縮んでいるため肉には見えづらい,Material,"number-bonus,,,,",14,20,0,1,0,1,"smelly,meat,seasoning,medic-ing",50,,",,,,,,,,,,",,,,,,,,,,"lab-of-eternity,,",",,,,,",35
rough-disk,Rough Disk,A manmade disc of metal. Rubbing the groove on the front makes sound.,ざらざらの円盤,明らかに人工の、金属の円盤。表面のみぞをこすると音が出る,Material,"show-illusions,,,,",13,20,0,0,1,1,"antique,metal,synthesis,",50,,",,,,,,,,,,",,,,,,,,,,"lab-of-eternity,,","pico-slag,black-box,frigate,,,",36
bendy-materia,Bendy Materia,"A small grain. When cooked, it becomes sticky and malleable.",可鍛性マテリア,小さな粒状の物体。熱を加えるとくっつけたり、自由に形を変えられる,Material,"power-throw,parameters-10,,,",10,15,1,1,0,0,"fuel,gunpowder,natural,",70,,",,,,,,,,,,",,,,,,,,,,"lab-of-eternity,,","flatfish,flounder,emerald-ray,fatal-flat,,",37
rot-snake-skin,Rot Snake Skin,A molting from a rotten snake. Simply touching it is harmful.,腐れヘビの抜け殻,腐ったまま生きるヘビから採れる抜け殻。触るとそこだけ痛んでしまうので注意が必要,Material,"poisonfire,life-drain,,,",17,15,0,1,1,1,"animal,skin,fuel,",30,,",,,,,,,,,,",,,,,,,,,,"lab-of-eternity,,",",,,,,",38
king-s-wing,King's Wing,A wing from the king of beasts. Has many uses for its many parts.,王者の翼,生物の王者の翼。硬い骨格はとても力強く、薄い膜は様々なものに使える,Material,"purifying-curse,fatal-attack,,,",20,40,0,0,1,0,"dragon,meat,skin,feather",90,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,","compact-dragon,galtessen,rakshasa-dragon,,,",39
dragon-fin,Dragon Fin,"A fin from the king of beasts. Soft and frilly, but also strong.",竜の背びれ,生物の王者の背びれ。柔らかく、ヒラヒラしているが、強く引っ張っても切れない,Material,"dragon-s-blood,cost-compression,,,",21,20,1,1,1,0,"dragon,meat,string,",90,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,",",,,,,",40
dragon-crystal,Dragon Crystal,This resembles a hardened drop of dragon blood. It has strange power.,竜の血晶,色や形から竜の血が固まった物だと思われている鉱石。神秘的な力がある,Material,"4-god-barrier,fixed-healing-plus-plus,,,",23,20,1,0,1,1,"jewel,mystery,medic-ing,smell",100,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,","grand-dragon,sura-dragon,rakshasa-dragon,altegewalt,dark-elder-dragon,",41
dragon-core,Dragon Core,A jewel said to be made by dragons. Taking it will surely anger them.,竜核,竜が作ったとされる宝玉。奪おうものなら逆鱗に触れるのは避けられない,Material,"4-god-attack,deadly-numbers,,,",25,20,1,1,1,1,"dragon,ore,gunpowder,elixir",100,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,","rakshasa-dragon,altegewalt,,,,",42
drying-sand,Drying Sand,An extremely fine sand. Inhaling it dries out your lungs and sinuses.,乾きの砂粒,極めて細かく、粉のような砂粒。万一吸い込むと身体の水分が奪われてしまう,Material,"reliable-effect,,,,",11,30,0,0,0,1,"natural,ore,,",70,,",,,,,,,,,,",,,,,,,,,,"withering-plains,,",",,,,,",43
junk,Junk,"Random tools used for alchemy in the past, no better than trash now.",ジャンク品,過去に使い古された雑多な錬金術用の道具。なかばゴミ扱いとなっている,Material,"recycle-plus-plus,50-automatic,,,",7,10,0,1,0,1,"metal,antique,,",0,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,","black-box,pandora,,,,",44
buried-bomb,Buried Bomb,"An ancient bomb, now rotten and useless. Still has some materials.",埋もれたばくだん,古びたばくだん。不発弾で放置されて朽ちている。使える部分もありそうだ,Material,"count-compress-plus,count-bonus-plus,,,",20,40,1,0,0,0,"gunpowder,antique,,",40,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,","raging-golem,,,,,",45
jet-black-cube,Jet Black Cube,"A light, hard, and flexible material. There are surely many uses for it.",漆黒のキューブ,軽くて堅く、さらに弾力性もある優れた素材。使用用途は多そうだ,Material,"property-enhance-plus,last-use-bonus-plus,,,",22,20,0,1,1,1,"synthesis,ancient-power,elixir,",90,,",,,,,,,,,,",,,,,,,,,,"ends-of-the-earth,,","death-scissor,manic-golem,,,,",46
sky-king-fossil,Sky King Fossil,A fossil from a great beast. One can only guess what it came from.,空の覇者の化石,大昔に存在したらしい翼のある魔物の化石。どういう魔物だったかは想像しか出来ない,Material,"ancient-power,absolute-senses,,,",24,50,0,0,0,1,"synthesis,ore,antique,",100,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,","spirit-golem,,,,,",47
sky-wasabi,Sky Wasabi,Wasabi that grew with particularly clean water and air.,空わさび,わさびの中でも特にきれいな水、きれいな空気の下で育った逸品,Material,"frame-compress,frame-expand,,,",15,20,0,0,1,1,"plant,vegetable,seasoning,smell",60,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,",",,,,,",48
noble-berry,Noble Berry,A berry with a bit of mold on the outside. It's still very sweet.,貴腐ベリー,表面だけがカビているベリー。見た目に反し、中身は甘みが凝縮されとても美味しい,Material,"professional,erases-ailments,,,",18,25,0,1,0,1,"fruit,smell,seasoning,",50,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,",",,,,,",49
heaven-s-branch,Heaven's Branch,A thick branch from a Heaven's Tree.,天樹の幹,天樹という木の枝。とても太いために幹と思われがちだが実際はこの太さで枝の一部,Material,"harmful-numbers,use-count-2,,,",21,20,1,0,1,1,"lumber,fuel,,",90,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,",",,,,,",50
wing-plant,Wing Plant,A plant with leaves that look like wings. It can use them to move.,ウィングプラント,天使の羽根のような形をした葉を茂らせる植物。この葉で風に乗って移動する,Material,"frame-reinforce,,,,",11,5,0,1,1,1,"plant,medic-ing,feather,",70,,",,,,,,,,,,",,,,,,,,,,"searing-wastes,fallen-ruins,",",,,,,",51
jelly-gem,Jelly Gem,"A squishy, transparent ball. You have no idea what it really is.",ジェリージェム,ぷにぷにとした透明の玉。宝石なのか何なのかよく分からない,Material,"frame-reinforce-plus,eco-skill,,,",18,15,1,1,0,1,"synthesis,jewel,meat,",90,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,",",,,,,",52
water-source,Water Source,A round ball with a cloud inside. Water drops appear as it condenses.,水の素,雲が閉じ込められた丸い玉。凝縮されるとどこからともなく水滴が現れる,Material,"strong-healing,strong-medicine,,,",10,25,0,1,0,0,"synthesis,liquid,,",70,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,",",,,,,",53
moon-milk,Moon Milk,"It appears to be a cream, but it's actually mineral. Don't eat it.",ムーンミルク,クリームのように見えるが、れっきとした鉱石。間違って食べると身体にはよくない,Material,"steal-vitality,skill-boost,,,",15,20,0,1,0,1,"ore,clay,,",80,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,",",,,,,",54
empty-core,Empty Core,A metal rod shaped into a spiral. You don't know who made it or why.,空芯コア,らせん状になっている金属の棒。誰が何のためにこんな形の物を作ったかは分からない,Material,"power-throw-plus,enhance-wt-plus,,,",25,25,1,0,1,1,"ancient-power,metal,antique,",100,,",,,,,,,,,,",,,,,,,,,,"lab-of-eternity,,","black-box,blue-fang-saber,,,,",55
apple,Apple,A delicious fruit grown in large amounts in Colseit.,リンゴ,コルセイトでたくさん栽培されている果実。そのまま食べてもおいしい,Material,",,,,",2,15,0,1,0,0,"apple,smell,fruit,",50,,",,,,,,,,,,",,,,,,,,,,"colseit,fallen-ruins,","poison-squirrel,,,,,",56
green-apple,Green Apple,"Fruit not mature enough for harvest. Tart, but can be sweetened.",青リンゴ,まだ収穫するには若い果実。少々しぶいが、加工すればとても甘くなる,Material,"ease-feelings,,,,",10,15,0,1,1,0,"apple,fruit,,",60,,",,,,,,,,,,",,,,,,,,,,"fallen-ruins,,","bitter-squirrel,,,,,",57
poison-apple,Poison Apple,A recently discovered species of poisonous apple.,毒リンゴ,毒性を持った果実。リンゴにはこのような品種はなかったはずだが、近年発見された,Material,"poison,,,,",8,25,0,0,0,1,"apple,smelly,fruit,",30,,",,,,,,,,,,",,,,,,,,,,"abandoned-river,,","poison-squirrel,bitter-squirrel,,,,",58
golden-apple,Golden Apple,A fruit that glows with golden light. There is plenty of nectar inside.,黄金のリンゴ,金色に輝く果実。中にたっぷりとミツが貯まっていて、切っても中身が金色に見える,Material,"golden-aegis,all-stats-10,,,",20,15,1,1,1,1,"apple,fruit,jewel,",90,,",,,,,,,,,,",,,,,,,,,,"lab-of-eternity,fallen-ruins,","golden-rat,alchemy-rat,,,,",59
spiky-fruit,Spiky Fruit,A fruit that bursts open to distribute the seeds inside.,とげとげの実,はじけて中の種子を遠くにまき散らす性質を持った木の実。当たるととても痛い,Material,",,,,",1,10,0,0,1,0,"spark,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,",",,,,,",60
spiky-bud,Spiky Bud,A thorny fruit that's still young and green. The seeds are hard.,青とげの実,青いとげの生えた、まだ若いとげとげの実。中の種子も、熟しているものより硬い,Material,",,,,",6,10,0,1,1,0,"spark,,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,","poison-squirrel,bitter-squirrel,,,,",61
gold-spiky-fruit,Gold Spiky Fruit,A shining golden fruit with thorns. The spines are like needles.,金とげの実,なぜか金色に輝くとげとげの実。硬いとげは、まるで金の針のようだ,Material,"fixed-increase-plus-plus,,,,",13,20,0,0,1,1,"spark,oil,,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,lab-of-eternity,fallen-ruins","golden-rat,alchemy-rat,,,,",62
taun,Taun,A herb that grows cute flowers. It's a good material for alchemy.,トーン,かわいい花を咲かせる薬草。これといった特徴やクセがないので錬金術の材料に向く,Material,",,,,",1,10,0,0,0,1,"plant,magic-grass,medic-ing,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,lab-of-eternity,",",,,,,",63
mutated-taun,Mutated Taun,A strangely-colored Taun. It has some harmful components.,変異トーン,少し変わった色をしたトーン。普通のものとは違い、有害な成分を少し含んでいる,Material,"frame-expand-plus,,,,",8,10,0,1,1,0,"plant,magic-grass,elixir,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,lab-of-eternity,","regen-rat,,,,,",64
trio-taun,Trio Taun,A seemingly well- nourished Taun with far more flowers.,三つ子トーン,栄養が行き届いているのか、普通のものより多くの花が咲いているトーン,Material,"frame-compress,pp-expansion,,,",15,35,0,0,0,1,"plant,magic-grass,medic-ing,mystery",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"twilight-forest,lab-of-eternity,fallen-ruins","golden-rat,deep-woods-spirit,mutant-spirit,hidden-spirit,underworld-spirit,",65
moss-grass,Moss Grass,Strong-smelling grass used as a flavoring in food or as an antidote.,コケグサ,強い臭いを放つ草。古来から香料や食用、毒消しなど様々な場面で使われている,Material,"detoxifier,,,,",1,10,0,0,0,1,"plant,seasoning,smelly,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",66
bitter-grass,Bitter Grass,"Grass that gives off a very strong, bitter odor.",ニガゴケグサ,とても強い臭いを放つ草。臭いや苦みが強い方が、より効能が高いとも言われている,Material,"detoxifier,erases-illness,,,",9,15,0,1,1,0,"plant,seasoning,smelly,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,",",,,,,",67
dried-grass,Dried Grass,"Dried Grass, concentrated for better effect.",乾燥コケグサ,カラカラに乾いているコケグサ。苦み成分が固まっているのか、効力も増している,Material,"recycle-plus,,,,",12,15,1,0,1,0,"medic-ing,seasoning,smelly,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"upland-forest,,",",,,,,",68
taro,Taro,A nutritious tuber that grows in the mountains.,トロイモ,山間に生育する大きなイモ。すり下ろすと強烈な粘り気を出す。栄養満点,Material,",,,,",1,10,0,0,0,1,"grain,,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,,",",,,,,",69
hard-taro,Hard Taro,"A small, hard tuber. It's denser, but also more nutritious.",カタコイモ,少し小さくて固いイモ。その分すり下ろすのも大変だが、普通よりも栄養価が高い,Material,"use-count-minus-1,frame-compress,,,",6,20,0,0,0,1,"grain,medic-ing,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,,",",,,,,",70
decade-taro,Decade Taro,A very nutritious tuber said to have been growing for almost a decade.,十年イモ,１０年近くかけて地中で育ったと言われている、とても栄養のあるイモ,Material,"vitality-boost,,,,",18,40,0,0,0,1,"grain,elixir,,",90,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,,",",,,,,",71
salat,Salat,A leafy vegetable that reaches full maturity in a single month.,サラート,芽が出てから月の満ち欠け１回分くらいで収穫出来るほど生育が早い菜っ葉,Material,",,,,",3,15,0,1,0,0,"vegetable,plant,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",72
fresh-salat,Fresh Salat,"A crunchy, fresh Salat. It has a high water content.",フレッシュサラート,新鮮で歯ごたえの良いサラート。水分も多く含んでいるため、調理の際には注意が必要,Material,"healing-up-plus,,,,",5,20,0,1,0,0,"vegetable,plant,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",73
white-salat,White Salat,"A rare white Salat. It's juicy and sweet, and is eaten for dessert.",ホワイトサラート,珍しい白いサラート。みずみずしさのの中に甘みがあり、デザートとしても食べられる,Material,"healing-up-plus-plus,fixed-healing-plus,,,",11,15,0,1,0,1,"vegetable,plant,,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"southern-ruins,,",",,,,,",74
smoke-mushroom,Smoke Mushroom,"A mushroom that sprays smoke. It's edible, but has a strange taste.",ケムリキノコ,触ると、もうもうと煙を噴き上げるキノコ。食べられなくはないが、味は微妙。,Material,"add-wt-delay,,,,",4,15,1,0,0,0,"vegetable,gas,smelly,",30,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,",",,,,,",75
darkness-shoot,Darkness Shoot,A mushroom that emits thick clouds of black smoke when touched.,クラヤミタケ,触ると周囲が見えなくなるくらい真っ黒い粉のような煙を噴き上げるキノコ。,Material,"blindness,,,,",7,20,0,0,0,1,"vegetable,fuel,,",50,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"searing-wastes,,","fell-sickle,red-fang-returner,regen-cube,mutant-cube,,",76
bitter-leaf,Bitter Leaf,"Dried leaves with a thick sap, used as medicine or as a food flavoring.",ビターリーフ,すり潰すと苦い汁が出てくる枯れ葉。薬や料理の香料として使われている,Material,"time-type,,,,",10,25,0,0,0,1,"plant,seasoning,smell,",70,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,,",",,,,,",77
salt-leaf,Salt Leaf,"A strange plant with a salty taste, often used in cooking.",ソルトリーフ,なぜか塩辛い味のする不思議な草。塩のない地域では、食材として使われることもある,Material,"quick-use-plus,,,,",13,20,0,0,1,1,"plant,seasoning,oil,",80,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"withering-plains,lab-of-eternity,",",,,,,",78
dried-root,Dried Root,A tiny root from an unknown plant. It has little nutritional value.,乾いた根っこ,どの植物なのかは分からない、小さな植物の根。あまり栄養価は高くない,Material,",,,,",1,10,0,0,0,1,"plant,,,",40,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,,",",,,,,",79
rich-root,Rich Root,"A fairly thick plant root with lots of nutrients, used in medicine.",豊かな根っこ,少し太い植物の根っこ。栄養が行き届いているため、薬のつなぎとして使われている,Material,"effect-up,,,,",5,20,0,0,0,1,"plant,medic-ing,,",60,,",,,,,,,,,,",0,0,0,0,0,0,0,0,0,"old-highway,,","ultimate-gaia,,,,,",80
